kata7;;;;;;;
;i;i <= 100;i % 7 = 0;resultado += ` ${( i )},`;i++;showResults(resultado);return
;7;true;true;7;7 + 1 = 8;-;-
;8;true;false;-;8 + 1 = 9;-;-
;9;true;false;-;9 + 1 = 10;-;-
;10;true;false;-;10 + 1 = 11;-;-
;11;true;false;-;11 + 1 = 12;-;-
;12;true;false;-;12 + 1 = 13;-;-
;13;true;false;-;13 + 1 = 14;-;-
;14;true;true;14;14 + 1 = 15;-;-
;...;...;...;...;...;...;...
;99;true;false;-;99 + 1 = 100;-;-
;100;false;;-;-;7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98,;7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98,
;;;;;;;
